Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Quadruped,-0.00015378,-0.0018543,0.0059831,0,0,0,0.2498,0.00027052,-9.9718E-07,-2.9032E-06,0.00029671,1.828E-06,0.00056127,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Quadruped.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Quadruped.STL,,Copy of base assem1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Thigh1_Link,-0.05457,0.014655,0.0029163,0,0,0,0.053996,1.2958E-05,6.6702E-06,-2.6124E-08,2.2919E-05,-2.8182E-08,2.4984E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Thigh1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Thigh1_Link.STL,,Copy of legAssem-1/Copy of upperLegAssem-1;Copy of legAssem-1/Copy of middleLeg-1,Origin_Thigh1_Joint,Axis_Thigh1_Joint,Thigh1_Joint,revolute,-0.039065,-0.053882,0,1.5708,0,0.098815,Quadruped,0,1,0,0,0,0,0,,,,,,,,
Shin1_Link,0.089293,0.00052424,0.12407,0,0,0,0.057893,5.1911E-06,-1.6884E-07,-2.1135E-06,9.8478E-05,-1.0817E-08,9.4822E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Shin1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Shin1_Link.STL,,Copy of legAssem-1/Copy of towerproAssemSingle-1;Copy of legAssem-1/Copy of endLegFoot-2,Origin_Shin1_Joint,Axis_Shin1_Joint,Shin1_Joint,revolute,0,0.078226,0,1.5708,0,-1.6593,Thigh1_Link,0.99609,0,-0.088356,0,0,0,0,,,,,,,,
Foot1_Link,-0.0217800760075205,0.141583477691689,0.000158750549140413,0,0,0,0.00914057897642938,1.43388059300199E-06,6.66353810967671E-08,1.91616126822275E-14,7.41969158641372E-07,-1.28331133251381E-13,1.33502935768451E-06,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Foot1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Foot1_Link.STL,,Copy of legAssem-1/Copy of FootV2-1,Origin_foot1_Joint,Axis_foot1_Joint,foot1_Joint,revolute,0.15134,0,-0.013424,1.5708,-0.088471,-3.1416,Shin1_Link,1,0,0,0,0,0,0,,,,,,,,
Thigh2_Link,-0.0428381524018848,0.0254412620695966,0.00291630750541005,0,0,0,0.0539963748486514,2.40390897727573E-05,5.73770232855066E-06,-2.63824184024176E-08,1.18386855486503E-05,-2.84200308039387E-08,2.49843293297085E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Thigh2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Thigh2_Link.STL,,Copy of legAssem-2/Copy of upperLegAssem-1;Copy of legAssem-2/Copy of middleLeg-1,Origin_Thigh2_Joint,Axis_Thigh2_Joint,Thigh2_Joint,revolute,0.039065,-0.053882,0,1.5708,0,2.2782,Quadruped,0,1,0,0,0,0,0,,,,,,,,
Shin2_Link,-0.0296585034791133,0.000524244197710577,0.135544040173049,0,0,0,0.0578934415117151,5.18978396145588E-06,-1.68960442129842E-07,-2.11274764965037E-06,9.84784530729361E-05,-1.0888527999984E-08,9.48234932501909E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Shin2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Shin2_Link.STL,,Copy of legAssem-2/Copy of towerproAssemSingle-1;Copy of legAssem-2/Copy of endLegFoot-2,Origin_Shin2_Joint,Axis_Shin2_Joint,Shin2_Joint,revolute,0,-0.040937,0,1.5708,0,-2.095,Thigh2_Link,0.86575,0,-0.50048,0,0,0,0,,,,,,,,
Foot2_Link,0.00616009871733274,0.147432180380511,0.000158751367519597,0,0,0,0.00914057905747705,1.43388058850935E-06,6.66354888171239E-08,9.08725546167629E-14,7.41969157898052E-07,-1.18456942462896E-13,1.33502935366218E-06,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Foot2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Foot2_Link.STL,,Copy of legAssem-2/Copy of FootV2-1,Origin_Foot2_Joint,Axis_Foot2_Joint,Foot2_Joint,revolute,-0.0021858,0,0.0012636,1.5708,-0.52416,3.1416,Shin2_Link,1,0,0,0,0,0,0,,,,,,,,
Thigh3_Link,-0.0504817372319407,0.0203729902968304,0.00291630785274938,0,0,0,0.0539963764620715,1.78639039082575E-05,8.34687131364102E-06,-2.62138296252775E-08,1.80138715206399E-05,-2.83082687947387E-08,2.49843294019783E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Thigh3_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Thigh3_Link.STL,,Copy of legAssem-3/Copy of upperLegAssem-1;Copy of legAssem-3/Copy of middleLeg-1,Origin_Thigh3_Joint,Axis_Thigh3_Joint,Thigh3_Joint,revolute,0.039433,0.05348,0,1.5708,0,-2.7838,Quadruped,0,1,0,0,0,0,0,,,,,,,,
Shin3_Link,-0.0175951894874295,0.000524246245149712,0.161105963795723,0,0,0,0.057893440995455,5.19137301285778E-06,-1.68786390238158E-07,-2.11391528928266E-06,9.84784530549523E-05,-1.08004113969907E-08,9.48219041879124E-05,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Shin3_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Shin3_Link.STL,,Copy of legAssem-3/Copy of towerproAssemSingle-1;Copy of legAssem-3/Copy of endLegFoot-2,Origin_Shin3_Joint,Axis_Shin3_Joint,Shin3_Joint,revolute,0,-0.061738,0,1.5708,0,-2.0801,Thigh3_Link,0.87309,0,-0.48756,0,0,0,0,,,,,,,,
Foot3_Link,0.00616010644032098,0.175922034961037,0.000158757918696607,0,0,0,0.00914057903727103,1.43388054325383E-06,6.66354691405119E-08,4.07491870309494E-13,7.41969110605252E-07,-1.34870054730054E-13,1.33502935775728E-06,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Foot3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssemV2_URDF_4/meshes/Foot3_Link.STL,,Copy of legAssem-3/Copy of FootV2-1,Origin_Foot3_Joint,Axis_Foot3_Joint,Foot3_Joint,revolute,-0.0020101,0,0.0011225,1.5708,-0.5093,3.1416,Shin3_Link,1,0,0,0,0,0,0,,,,,,,,
